iter	RMSE
1965	56286.11138
1966	56285.628
1967	56283.65135
1968	56281.57286
1969	56281.37127
1970	56278.03417
1971	56273.58504
1972	56269.61909
1973	56267.48723
1974	56264.49387
1975	56261.67656
1976	56260.57231
1977	56259.05687
1978	56257.4239
1979	56255.54025
1980	56253.69766
1981	56244.45835
1982	56240.26706
1983	56236.61804
1984	56234.62792
1985	56229.16256
1986	56227.18589
1987	56225.66367
1988	56222.17435
1989	56220.38161
1990	56219.66254
1991	56217.32892
1992	56216.10819
1993	56213.79206
1994	56210.57636
1995	56208.64019
1996	56207.87002
1997	56205.99451
1998	56203.51137
1999	56202.57845
2000	56201.59848
2001	56197.37459
2002	56196.36905
2003	56193.69338
2004	56191.12736
2005	56189.34343
2006	56188.69454
2007	56187.64963
2008	56186.40669
2009	56184.21481
2010	56181.32289
2011	56179.44454
2012	56175.39154
2013	56172.75606
2014	56171.53436
2015	56171.21864
2016	56168.91242
2017	56161.88142
2018	56159.50028
2019	56158.16845
2020	56157.66239
2021	56155.19281
2022	56152.9389
2023	56148.45632
2024	56147.20074
2025	56143.00808
2026	56139.18987
2027	56137.68881
2028	56137.22377
2029	56136.05624
2030	56132.29055
2031	56130.66567
2032	56128.83272
2033	56127.05662
2034	56123.59062
2035	56119.89279
2036	56117.85338
2037	56113.66245
2038	56111.98992
2039	56108.57207
2040	56105.81564
2041	56104.30976
2042	56100.69706
2043	56099.27351
2044	56097.62018
2045	56096.15139
2046	56095.93146
2047	56094.23483
2048	56091.57983
2049	56089.78487
2050	56088.26874
2051	56083.84188
2052	56081.92883
2053	56079.46377
2054	56076.47609
2055	56076.05965
2056	56071.40787
2057	56069.738
2058	56067.49441
2059	56066.4551
2060	56065.14464
2061	56063.94221
2062	56060.82402
2063	56058.61348
2064	56056.45983
2065	56053.43948
2066	56051.16183
2067	56049.40293
2068	56041.67488
2069	56040.40512
2070	56040.33042
2071	56039.70143
2072	56037.35245
2073	56034.21116
2074	56033.23414
2075	56029.43598
2076	56025.74963
2077	56024.77049
2078	56022.0768
2079	56021.49479
2080	56017.23372
2081	56014.61243
2082	56009.69594
2083	56008.56509
2084	56007.51485
2085	56004.8636
2086	56003.87623
2087	56002.63118
2088	55999.32861
2089	55997.81986
2090	55996.21862
2091	55993.52356
2092	55992.60681
2093	55991.02116
2094	55988.40847
2095	55984.92602
2096	55983.74154
2097	55982.52162
2098	55979.7275
2099	55978.48388
2100	55977.25007
2101	55974.26874
2102	55973.07026
2103	55967.99858
2104	55967.21328
2105	55966.13668
2106	55964.27079
2107	55963.01501
2108	55962.16075
2109	55958.17667
2110	55957.14911
2111	55954.90297
2112	55952.31616
2113	55950.40846
2114	55947.20519
2115	55941.60148
2116	55939.3882
2117	55938.91757
2118	55934.3686
2119	55932.9546
2120	55932.28501
2121	55930.28603
2122	55928.9192
2123	55925.47834
2124	55924.31821
2125	55922.47061
2126	55921.32618
2127	55919.57107
2128	55916.2104
2129	55914.68956
2130	55913.06821
2131	55910.21546
2132	55909.02349
2133	55908.95847
2134	55906.6178
2135	55905.72721
2136	55901.946
2137	55900.00703
2138	55898.60793
2139	55897.41965
2140	55896.17025
2141	55895.15732
2142	55892.90278
2143	55888.35795
2144	55884.33706
2145	55883.35545
2146	55880.9112
2147	55878.6758
2148	55876.80501
2149	55875.16876
2150	55872.38899
2151	55870.64812
2152	55868.76918
2153	55867.62364
2154	55866.50766
2155	55866.01867
2156	55865.04265
2157	55864.22633
2158	55863.48887
2159	55861.4894
2160	55860.67105
2161	55859.09546
2162	55858.75036
2163	55857.1688
2164	55852.24634
2165	55849.3609
2166	55847.57986
2167	55846.78498
2168	55844.00183
2169	55842.97217
2170	55837.575
2171	55834.64738
2172	55832.66858
2173	55831.11192
2174	55829.90445
2175	55828.00243
2176	55827.80512
2177	55826.64099
2178	55824.98748
2179	55823.65162
2180	55822.08485
2181	55820.70945
2182	55813.31288
2183	55811.59582
2184	55809.35567
2185	55808.33523
2186	55804.57309
2187	55803.49335
2188	55802.54585
2189	55800.55801
2190	55797.56527
2191	55796.97894
2192	55796.39655
2193	55795.52395
2194	55793.20813
2195	55792.2802
2196	55792.20122
2197	55791.44307
2198	55791.07781
2199	55789.24357
2200	55787.18418
2201	55780.51778
2202	55778.27638
2203	55775.46414
2204	55771.38376
2205	55771.11318
2206	55769.53308
2207	55768.19983
2208	55765.3693
2209	55764.49622
2210	55760.53752
2211	55758.09578
2212	55757.49126
2213	55754.30852
2214	55753.62295
2215	55752.75363
2216	55749.95985
2217	55746.421
2218	55745.05164
2219	55743.17834
2220	55740.41571
2221	55738.27151
2222	55734.32281
2223	55733.40377
2224	55731.99061
2225	55730.23744
2226	55727.25871
2227	55723.13329
2228	55721.80289
2229	55720.24512
2230	55719.56309
2231	55715.75541
2232	55714.54939
2233	55713.19506
2234	55712.03248
2235	55711.16054
2236	55710.08492
2237	55709.63212
2238	55706.99438
2239	55702.46009
2240	55699.94066
2241	55698.41392
2242	55697.74151
2243	55697.20357
2244	55694.63644
2245	55690.42355
2246	55688.95193
2247	55688.20226
2248	55684.91665
2249	55681.77327
2250	55676.91445
2251	55673.43625
2252	55672.02947
2253	55669.55418
2254	55668.36299
2255	55667.15595
2256	55665.22462
2257	55663.73848
2258	55660.42966
2259	55660.00219
2260	55658.08447
2261	55657.73812
2262	55657.62135
2263	55654.73968
2264	55650.80088
2265	55648.80961
2266	55648.53842
2267	55646.4956
2268	55642.29094
2269	55640.81211
2270	55640.39043
2271	55637.97906
2272	55633.87078
2273	55632.82139
2274	55630.48494
2275	55627.60581
2276	55623.44132
2277	55620.21327
2278	55615.25004
2279	55612.83362
2280	55611.8175
2281	55609.6723
2282	55608.50757
2283	55606.11462
2284	55602.99255
2285	55599.63454
2286	55597.81578
2287	55597.25905
2288	55595.97121
2289	55595.14103
2290	55593.95221
2291	55592.28782
2292	55590.17556
2293	55589.69999
2294	55588.00575
2295	55586.13905
2296	55584.29012
2297	55582.70669
2298	55582.58382
2299	55581.24808
2300	55579.39701
2301	55578.16821
2302	55575.08421
2303	55573.53422
2304	55569.96827
2305	55567.46663
2306	55565.80144
2307	55562.21121
2308	55560.36942
2309	55558.57713
2310	55557.68493
2311	55556.68764
2312	55556.10075
2313	55554.30634
2314	55551.75243
2315	55550.5488
2316	55547.66356
2317	55547.55647
2318	55542.59864
2319	55535.33363
2320	55531.38041
2321	55530.52348
2322	55527.91294
2323	55527.59355
2324	55525.88154
2325	55523.75485
2326	55521.34238
2327	55516.06872
2328	55514.01506
2329	55513.04873
2330	55511.9653
2331	55509.91349
2332	55503.60476
2333	55502.05674
2334	55501.19141
2335	55499.51829
2336	55498.79186
2337	55498.11306
2338	55496.07065
2339	55491.44965
2340	55490.95934
2341	55487.91218
2342	55486.23071
2343	55480.6956
2344	55479.6453
2345	55478.56122
2346	55477.03434
2347	55475.83306
2348	55473.64687
2349	55471.93716
2350	55469.40925
2351	55468.5176
2352	55466.913
2353	55463.1694
2354	55461.34418
2355	55457.61808
2356	55455.76289
2357	55454.67238
2358	55450.55648
2359	55445.70322
2360	55441.08597
2361	55437.23134
2362	55433.65663
2363	55432.11063
2364	55430.74145
2365	55428.59322
2366	55423.23322
2367	55421.48619
2368	55419.82258
2369	55418.26625
2370	55414.22716
2371	55407.30516
2372	55403.91143
2373	55401.7224
2374	55398.18516
2375	55394.63577
2376	55394.03325
2377	55391.91541
2378	55388.32187
2379	55387.00133
2380	55385.2094
2381	55382.20813
2382	55379.18482
2383	55378.40908
2384	55375.17073
2385	55372.33602
2386	55371.88246
2387	55371.63976
2388	55371.06682
2389	55370.04627
2390	55369.33406
2391	55366.99047
2392	55365.42669
2393	55361.15094
2394	55358.52644
2395	55357.38427
2396	55356.65996
2397	55354.82526
2398	55351.70294
2399	55349.23323
2400	55348.05106
2401	55343.63067
2402	55340.58933
2403	55337.53389
2404	55335.27853
2405	55334.06621
2406	55333.24803
2407	55332.24868
2408	55329.16889
2409	55327.45472
2410	55325.44982
2411	55324.94609
